2012,327005,10,None
2013,327005,10,None
2014,327005,10,0
2015,327005,10,0
2016,327005,10,0
2017,327005,10,0
2018,327005,10,0
2019,327005,10,0
2020,327005,10,1
2021,327005,10,2
2012,327005,11,3
2013,327005,11,1
2014,327005,11,9
2015,327005,11,20
2016,327005,11,17
2017,327005,11,12
2018,327005,11,29
2019,327005,11,18
2020,327005,11,18
2021,327005,11,8
2012,327005,12,2
2013,327005,12,0
2014,327005,12,1
2015,327005,12,1
2016,327005,12,4
2017,327005,12,1
2018,327005,12,1
2019,327005,12,1
2020,327005,12,1
2021,327005,12,1
2012,327005,13,0
2013,327005,13,0
2014,327005,13,4
2015,327005,13,1
2016,327005,13,5
2017,327005,13,1
2018,327005,13,8
2019,327005,13,8
2020,327005,13,5
2021,327005,13,5
2012,327005,14,1
2013,327005,14,2
2014,327005,14,0
2015,327005,14,1
2016,327005,14,8
2017,327005,14,7
2018,327005,14,2
2019,327005,14,3
2020,327005,14,12
2021,327005,14,8
2012,327005,15,2
2013,327005,15,3
2014,327005,15,9
2015,327005,15,8
2016,327005,15,6
2017,327005,15,8
2018,327005,15,16
2019,327005,15,6
2020,327005,15,13
2021,327005,15,7
2012,327005,16,3
2013,327005,16,5
2014,327005,16,6
2015,327005,16,2
2016,327005,16,4
2017,327005,16,8
2018,327005,16,17
2019,327005,16,4
2020,327005,16,3
2021,327005,16,6
2012,327005,17,19
2013,327005,17,35
2014,327005,17,40
2015,327005,17,45
2016,327005,17,40
2017,327005,17,38
2018,327005,17,37
2019,327005,17,48
2020,327005,17,55
2021,327005,17,41
2012,327005,18,0
2013,327005,18,1
2014,327005,18,10
2015,327005,18,8
2016,327005,18,0
2017,327005,18,3
2018,327005,18,1
2019,327005,18,2
2020,327005,18,0
2021,327005,18,5
2012,327005,19,0
2013,327005,19,1
2014,327005,19,3
2015,327005,19,2
2016,327005,19,3
2017,327005,19,10
2018,327005,19,15
2019,327005,19,5
2020,327005,19,1
2021,327005,19,7
2012,327005,20,0
2013,327005,20,3
2014,327005,20,8
2015,327005,20,8
2016,327005,20,2
2017,327005,20,6
2018,327005,20,2
2019,327005,20,5
2020,327005,20,9
2021,327005,20,15
2012,327005,21,0
2013,327005,21,1
2014,327005,21,4
2015,327005,21,0
2016,327005,21,8
2017,327005,21,14
2018,327005,21,22
2019,327005,21,18
2020,327005,21,27
2021,327005,21,23
2012,327005,22,51
2013,327005,22,68
2014,327005,22,83
2015,327005,22,83
2016,327005,22,96
2017,327005,22,82
2018,327005,22,98
2019,327005,22,87
2020,327005,22,115
2021,327005,22,61
2012,327005,23,2
2013,327005,23,8
2014,327005,23,15
2015,327005,23,27
2016,327005,23,27
2017,327005,23,29
2018,327005,23,50
2019,327005,23,28
2020,327005,23,27
2021,327005,23,23
2012,327005,24,None
2013,327005,24,0
2014,327005,24,0
2015,327005,24,0
2016,327005,24,0
2017,327005,24,None
2018,327005,24,0
2019,327005,24,1
2020,327005,24,0
2021,327005,24,0
2012,327005,25,8
2013,327005,25,33
2014,327005,25,29
2015,327005,25,26
2016,327005,25,23
2017,327005,25,26
2018,327005,25,31
2019,327005,25,33
2020,327005,25,37
2021,327005,25,28
2012,327005,26,11
2013,327005,26,25
2014,327005,26,36
2015,327005,26,43
2016,327005,26,44
2017,327005,26,37
2018,327005,26,41
2019,327005,26,48
2020,327005,26,44
2021,327005,26,35
2012,327005,27,0
2013,327005,27,2
2014,327005,27,1
2015,327005,27,1
2016,327005,27,4
2017,327005,27,1
2018,327005,27,7
2019,327005,27,2
2020,327005,27,2
2021,327005,27,2
2012,327005,28,0
2013,327005,28,0
2014,327005,28,0
2015,327005,28,0
2016,327005,28,1
2017,327005,28,0
2018,327005,28,None
2019,327005,28,0
2020,327005,28,0
2021,327005,28,None
2012,327005,29,None
2013,327005,29,None
2014,327005,29,None
2015,327005,29,None
2016,327005,29,0
2017,327005,29,None
2018,327005,29,0
2019,327005,29,None
2020,327005,29,1
2021,327005,29,0
2012,327005,30,None
2013,327005,30,0
2014,327005,30,None
2015,327005,30,0
2016,327005,30,2
2017,327005,30,3
2018,327005,30,1
2019,327005,30,2
2020,327005,30,0
2021,327005,30,0
2012,327005,31,16
2013,327005,31,47
2014,327005,31,33
2015,327005,31,35
2016,327005,31,29
2017,327005,31,28
2018,327005,31,35
2019,327005,31,36
2020,327005,31,28
2021,327005,31,29
2012,327005,32,None
2013,327005,32,None
2014,327005,32,None
2015,327005,32,0
2016,327005,32,None
2017,327005,32,None
2018,327005,32,0
2019,327005,32,0
2020,327005,32,0
2021,327005,32,1
2012,327005,33,1
2013,327005,33,1
2014,327005,33,10
2015,327005,33,10
2016,327005,33,6
2017,327005,33,3
2018,327005,33,5
2019,327005,33,7
2020,327005,33,12
2021,327005,33,11
2012,327005,34,None
2013,327005,34,None
2014,327005,34,None
2015,327005,34,None
2016,327005,34,None
2017,327005,34,None
2018,327005,34,None
2019,327005,34,None
2020,327005,34,0
2021,327005,34,0
2012,327005,35,0
2013,327005,35,0
2014,327005,35,None
2015,327005,35,None
2016,327005,35,None
2017,327005,35,0
2018,327005,35,0
2019,327005,35,None
2020,327005,35,None
2021,327005,35,0
2012,327005,36,0
2013,327005,36,0
2014,327005,36,0
2015,327005,36,0
2016,327005,36,0
2017,327005,36,0
2018,327005,36,None
2019,327005,36,0
2020,327005,36,0
2021,327005,36,None
2012,327038,10,0
2013,327038,10,1
2014,327038,10,3
2015,327038,10,8
2016,327038,10,5
2017,327038,10,10
2018,327038,10,1
2019,327038,10,2
2020,327038,10,1
2021,327038,10,6
2012,327038,11,2
2013,327038,11,5
2014,327038,11,3
2015,327038,11,6
2016,327038,11,7
2017,327038,11,8
2018,327038,11,9
2019,327038,11,15
2020,327038,11,8
2021,327038,11,4
2012,327038,12,0
2013,327038,12,2
2014,327038,12,1
2015,327038,12,2
2016,327038,12,1
2017,327038,12,2
2018,327038,12,0
2019,327038,12,3
2020,327038,12,2
2021,327038,12,4
2012,327038,13,17
2013,327038,13,11
2014,327038,13,16
2015,327038,13,12
2016,327038,13,15
2017,327038,13,17
2018,327038,13,22
2019,327038,13,26
2020,327038,13,42
2021,327038,13,42
2012,327038,14,6
2013,327038,14,1
2014,327038,14,6
2015,327038,14,11
2016,327038,14,8
2017,327038,14,7
2018,327038,14,8
2019,327038,14,2
2020,327038,14,17
2021,327038,14,12
2012,327038,15,57
2013,327038,15,48
2014,327038,15,55
2015,327038,15,50
2016,327038,15,64
2017,327038,15,76
2018,327038,15,77
2019,327038,15,53
2020,327038,15,62
2021,327038,15,58
2012,327038,16,83
2013,327038,16,61
2014,327038,16,67
2015,327038,16,79
2016,327038,16,92
2017,327038,16,105
2018,327038,16,131
2019,327038,16,59
2020,327038,16,74
2021,327038,16,79
2012,327038,17,166
2013,327038,17,180
2014,327038,17,209
2015,327038,17,228
2016,327038,17,265
2017,327038,17,200
2018,327038,17,249
2019,327038,17,204
2020,327038,17,227
2021,327038,17,179
2012,327038,18,4
2013,327038,18,2
2014,327038,18,10
2015,327038,18,21
2016,327038,18,6
2017,327038,18,6
2018,327038,18,11
2019,327038,18,9
2020,327038,18,10
2021,327038,18,7
2012,327038,19,11
2013,327038,19,8
2014,327038,19,12
2015,327038,19,13
2016,327038,19,18
2017,327038,19,24
2018,327038,19,35
2019,327038,19,54
2020,327038,19,17
2021,327038,19,11
2012,327038,20,0
2013,327038,20,0
2014,327038,20,1
2015,327038,20,1
2016,327038,20,11
2017,327038,20,1
2018,327038,20,0
2019,327038,20,4
2020,327038,20,7
2021,327038,20,11
2012,327038,21,11
2013,327038,21,25
2014,327038,21,32
2015,327038,21,46
2016,327038,21,33
2017,327038,21,58
2018,327038,21,59
2019,327038,21,68
2020,327038,21,73
2021,327038,21,105
2012,327038,22,264
2013,327038,22,316
2014,327038,22,375
2015,327038,22,409
2016,327038,22,463
2017,327038,22,416
2018,327038,22,482
2019,327038,22,379
2020,327038,22,383
2021,327038,22,321
2012,327038,23,18
2013,327038,23,20
2014,327038,23,21
2015,327038,23,22
2016,327038,23,34
2017,327038,23,46
2018,327038,23,59
2019,327038,23,75
2020,327038,23,48
2021,327038,23,49
2012,327038,24,2
2013,327038,24,3
2014,327038,24,0
2015,327038,24,1
2016,327038,24,3
2017,327038,24,2
2018,327038,24,1
2019,327038,24,2
2020,327038,24,0
2021,327038,24,1
2012,327038,25,134
2013,327038,25,146
2014,327038,25,149
2015,327038,25,184
2016,327038,25,215
2017,327038,25,170
2018,327038,25,257
2019,327038,25,201
2020,327038,25,135
2021,327038,25,142
2012,327038,26,99
2013,327038,26,92
2014,327038,26,119
2015,327038,26,106
2016,327038,26,171
2017,327038,26,129
2018,327038,26,143
2019,327038,26,127
2020,327038,26,98
2021,327038,26,113
2012,327038,27,4
2013,327038,27,6
2014,327038,27,3
2015,327038,27,7
2016,327038,27,11
2017,327038,27,18
