2012,327005,10,0
2013,327005,10,0
2014,327005,10,2
2015,327005,10,2
2016,327005,10,2
2017,327005,10,4
2018,327005,10,2
2019,327005,10,2
2020,327005,10,9
2021,327005,10,13
2012,327005,11,12
2013,327005,11,9
2014,327005,11,27
2015,327005,11,50
2016,327005,11,46
2017,327005,11,33
2018,327005,11,60
2019,327005,11,58
2020,327005,11,49
2021,327005,11,35
2012,327005,12,3
2013,327005,12,4
2014,327005,12,5
2015,327005,12,8
2016,327005,12,7
2017,327005,12,5
2018,327005,12,15
2019,327005,12,3
2020,327005,12,4
2021,327005,12,6
2012,327005,13,3
2013,327005,13,7
2014,327005,13,11
2015,327005,13,10
2016,327005,13,21
2017,327005,13,20
2018,327005,13,47
2019,327005,13,28
2020,327005,13,24
2021,327005,13,29
2012,327005,14,8
2013,327005,14,6
2014,327005,14,4
2015,327005,14,17
2016,327005,14,34
2017,327005,14,42
2018,327005,14,33
2019,327005,14,28
2020,327005,14,43
2021,327005,14,31
2012,327005,15,12
2013,327005,15,9
2014,327005,15,16
2015,327005,15,18
2016,327005,15,21
2017,327005,15,23
2018,327005,15,49
2019,327005,15,25
2020,327005,15,43
2021,327005,15,31
2012,327005,16,10
2013,327005,16,12
2014,327005,16,15
2015,327005,16,11
2016,327005,16,14
2017,327005,16,19
2018,327005,16,50
2019,327005,16,36
2020,327005,16,25
2021,327005,16,27
2012,327005,17,69
2013,327005,17,80
2014,327005,17,118
2015,327005,17,118
2016,327005,17,137
2017,327005,17,147
2018,327005,17,144
2019,327005,17,142
2020,327005,17,150
2021,327005,17,119
2012,327005,18,5
2013,327005,18,3
2014,327005,18,10
2015,327005,18,10
2016,327005,18,3
2017,327005,18,6
2018,327005,18,4
2019,327005,18,9
2020,327005,18,8
2021,327005,18,13
2012,327005,19,5
2013,327005,19,4
2014,327005,19,6
2015,327005,19,6
2016,327005,19,6
2017,327005,19,30
2018,327005,19,42
2019,327005,19,28
2020,327005,19,10
2021,327005,19,14
2012,327005,20,1
2013,327005,20,10
2014,327005,20,12
2015,327005,20,14
2016,327005,20,12
2017,327005,20,16
2018,327005,20,16
2019,327005,20,20
2020,327005,20,42
2021,327005,20,37
2012,327005,21,4
2013,327005,21,4
2014,327005,21,10
2015,327005,21,7
2016,327005,21,13
2017,327005,21,39
2018,327005,21,54
2019,327005,21,68
2020,327005,21,77
2021,327005,21,75
2012,327005,22,180
2013,327005,22,193
2014,327005,22,231
2015,327005,22,235
2016,327005,22,309
2017,327005,22,341
2018,327005,22,330
2019,327005,22,295
2020,327005,22,319
2021,327005,22,242
2012,327005,23,10
2013,327005,23,24
2014,327005,23,37
2015,327005,23,56
2016,327005,23,54
2017,327005,23,77
2018,327005,23,111
2019,327005,23,99
2020,327005,23,85
2021,327005,23,76
2012,327005,24,0
2013,327005,24,1
2014,327005,24,1
2015,327005,24,2
2016,327005,24,1
2017,327005,24,0
2018,327005,24,5
2019,327005,24,5
2020,327005,24,5
2021,327005,24,2
2012,327005,25,33
2013,327005,25,81
2014,327005,25,59
2015,327005,25,67
2016,327005,25,85
2017,327005,25,102
2018,327005,25,83
2019,327005,25,111
2020,327005,25,135
2021,327005,25,102
2012,327005,26,63
2013,327005,26,72
2014,327005,26,90
2015,327005,26,98
2016,327005,26,128
2017,327005,26,116
2018,327005,26,126
2019,327005,26,117
