2012,327005,10,None
2013,327005,10,None
2014,327005,10,14
2015,327005,10,120
2016,327005,10,63
2017,327005,10,70
2018,327005,10,17
2019,327005,10,15
2020,327005,10,126
2021,327005,10,61
2012,327005,11,52
2013,327005,11,43
2014,327005,11,382
2015,327005,11,377
2016,327005,11,315
2017,327005,11,207
2018,327005,11,453
2019,327005,11,358
2020,327005,11,307
2021,327005,11,180
2012,327005,12,3
2013,327005,12,26
2014,327005,12,70
2015,327005,12,98
2016,327005,12,25
2017,327005,12,10
2018,327005,12,42
2019,327005,12,3
2020,327005,12,47
2021,327005,12,27
2012,327005,13,103
2013,327005,13,152
2014,327005,13,312
2015,327005,13,267
2016,327005,13,397
2017,327005,13,343
2018,327005,13,300
2019,327005,13,343
2020,327005,13,189
2021,327005,13,120
2012,327005,14,202
2013,327005,14,61
2014,327005,14,15
2015,327005,14,100
2016,327005,14,190
2017,327005,14,278
2018,327005,14,377
2019,327005,14,269
2020,327005,14,242
2021,327005,14,108
2012,327005,15,220
2013,327005,15,167
2014,327005,15,175
2015,327005,15,250
2016,327005,15,263
2017,327005,15,198
2018,327005,15,323
2019,327005,15,159
2020,327005,15,218
2021,327005,15,81
2012,327005,16,244
2013,327005,16,218
2014,327005,16,293
2015,327005,16,208
2016,327005,16,250
2017,327005,16,284
2018,327005,16,299
2019,327005,16,504
2020,327005,16,371
2021,327005,16,104
2012,327005,17,686
2013,327005,17,930
2014,327005,17,824
2015,327005,17,704
2016,327005,17,932
2017,327005,17,735
2018,327005,17,565
2019,327005,17,661
2020,327005,17,674
2021,327005,17,232
2012,327005,18,302
2013,327005,18,77
2014,327005,18,41
2015,327005,18,39
2016,327005,18,73
2017,327005,18,60
2018,327005,18,8
2019,327005,18,107
2020,327005,18,67
2021,327005,18,11
2012,327005,19,9
2013,327005,19,4
2014,327005,19,33
2015,327005,19,4
2016,327005,19,64
2017,327005,19,65
2018,327005,19,134
2019,327005,19,32
2020,327005,19,28
2021,327005,19,45
2012,327005,20,2
2013,327005,20,47
2014,327005,20,122
2015,327005,20,98
2016,327005,20,113
2017,327005,20,154
2018,327005,20,120
2019,327005,20,74
2020,327005,20,210
2021,327005,20,58
2012,327005,21,68
2013,327005,21,51
2014,327005,21,137
2015,327005,21,77
2016,327005,21,127
2017,327005,21,159
2018,327005,21,408
2019,327005,21,627
2020,327005,21,769
2021,327005,21,446
2012,327005,22,1576
2013,327005,22,1737
2014,327005,22,1789
2015,327005,22,1645
2016,327005,22,2348
2017,327005,22,2319
2018,327005,22,1931
2019,327005,22,1971
2020,327005,22,1651
2021,327005,22,1180
2012,327005,23,58
2013,327005,23,117
2014,327005,23,308
2015,327005,23,478
2016,327005,23,484
2017,327005,23,502
2018,327005,23,813
2019,327005,23,640
2020,327005,23,597
2021,327005,23,413
2012,327005,24,None
2013,327005,24,41
2014,327005,24,26
2015,327005,24,71
2016,327005,24,6
2017,327005,24,None
2018,327005,24,75
2019,327005,24,63
2020,327005,24,32
2021,327005,24,4
2012,327005,25,482
2013,327005,25,620
2014,327005,25,503
2015,327005,25,518
2016,327005,25,664
2017,327005,25,714
2018,327005,25,515
2019,327005,25,965
2020,327005,25,1080
2021,327005,25,609
2012,327005,26,1235
2013,327005,26,764
2014,327005,26,608
2015,327005,26,668
2016,327005,26,921
2017,327005,26,582
2018,327005,26,582
2019,327005,26,866
2020,327005,26,735
2021,327005,26,542
2012,327005,27,51
2013,327005,27,96
2014,327005,27,82
2015,327005,27,139
2016,327005,27,277
2017,327005,27,148
2018,327005,27,250
2019,327005,27,223
2020,327005,27,162
2021,327005,27,147
2012,327005,28,8
2013,327005,28,69
2014,327005,28,59
2015,327005,28,11
2016,327005,28,21
2017,327005,28,18
2018,327005,28,None
2019,327005,28,5
2020,327005,28,8
2021,327005,28,None
2012,327005,29,None
2013,327005,29,None
2014,327005,29,None
2015,327005,29,None
2016,327005,29,112
2017,327005,29,None
2018,327005,29,29
2019,327005,29,None
2020,327005,29,27
2021,327005,29,11
2012,327005,30,None
2013,327005,30,56
2014,327005,30,None
2015,327005,30,122
2016,327005,30,655
2017,327005,30,167
2018,327005,30,50
2019,327005,30,151
2020,327005,30,36
2021,327005,30,20
2012,327005,31,809
2013,327005,31,987
2014,327005,31,829
2015,327005,31,647
2016,327005,31,804
2017,327005,31,640
2018,327005,31,542
2019,327005,31,804
2020,327005,31,921
2021,327005,31,410
2012,327005,32,None
2013,327005,32,None
2014,327005,32,None
2015,327005,32,10
2016,327005,32,None
2017,327005,32,None
2018,327005,32,4
2019,327005,32,2
2020,327005,32,5
2021,327005,32,27
2012,327005,33,36
2013,327005,33,17
2014,327005,33,69
2015,327005,33,86
2016,327005,33,152
2017,327005,33,39
2018,327005,33,262
2019,327005,33,326
2020,327005,33,388
2021,327005,33,116
2012,327005,34,None
2013,327005,34,None
2014,327005,34,None
2015,327005,34,None
2016,327005,34,None
2017,327005,34,None
2018,327005,34,None
2019,327005,34,None
2020,327005,34,17
2021,327005,34,14
2012,327005,35,1
2013,327005,35,2
2014,327005,35,None
2015,327005,35,None
2016,327005,35,None
2017,327005,35,0
2018,327005,35,37
2019,327005,35,None
2020,327005,35,None
2021,327005,35,1
2012,327005,36,23
2013,327005,36,0
2014,327005,36,9
2015,327005,36,28
2016,327005,36,0
2017,327005,36,25
2018,327005,36,None
2019,327005,36,5
2020,327005,36,4
2021,327005,36,None
2012,327038,10,92
2013,327038,10,33
2014,327038,10,59
2015,327038,10,250
2016,327038,10,466
2017,327038,10,708
2018,327038,10,221
2019,327038,10,669
