year,universityId,subjectAreaId,subjectId,amount
2013,327005,33,33,4
2014,327005,33,33,17
2015,327005,33,33,23
2016,327005,33,33,18
2017,327005,33,33,23
2018,327005,33,33,29
2019,327005,33,33,37
2020,327005,33,33,36
2021,327005,33,33,36
2012,327005,34,34,0
2013,327005,34,34,0
2014,327005,34,34,0
2015,327005,34,34,0
2016,327005,34,34,0
2017,327005,34,34,0
2018,327005,34,34,0
2019,327005,34,34,0
2020,327005,34,34,3
2021,327005,34,34,4
2012,327005,35,35,1
2013,327005,35,35,2
2014,327005,35,35,0
2015,327005,35,35,0
2016,327005,35,35,0
2017,327005,35,35,1
2018,327005,35,35,4
2019,327005,35,35,0
2020,327005,35,35,0
2021,327005,35,35,1
2012,327005,36,36,1
2013,327005,36,36,1
2014,327005,36,36,1
2015,327005,36,36,3
2016,327005,36,36,1
2017,327005,36,36,1
2018,327005,36,36,0
2019,327005,36,36,1
2020,327005,36,36,2
2021,327005,36,36,0
2012,327038,10,10,8
2013,327038,10,10,4
2014,327038,10,10,15
2015,327038,10,10,20
2016,327038,10,10,18
2017,327038,10,10,33
2018,327038,10,10,22
2019,327038,10,10,23
2020,327038,10,10,26
2021,327038,10,10,33
2012,327038,11,11,14
2013,327038,11,11,25
2014,327038,11,11,12
2015,327038,11,11,21
2016,327038,11,11,31
2017,327038,11,11,35
2018,327038,11,11,50
2019,327038,11,11,40
2020,327038,11,11,33
2021,327038,11,11,39
2012,327038,12,12,1
2013,327038,12,12,5
2014,327038,12,12,7
2015,327038,12,12,12
2016,327038,12,12,6
2017,327038,12,12,4
2018,327038,12,12,18
2019,327038,12,12,17
2020,327038,12,12,14
2021,327038,12,12,28
2012,327038,13,13,58
2013,327038,13,13,66
2014,327038,13,13,77
2015,327038,13,13,87
2016,327038,13,13,73
2017,327038,13,13,110
2018,327038,13,13,102
2019,327038,13,13,129
2020,327038,13,13,179
2021,327038,13,13,211
2012,327038,14,14,31
2013,327038,14,14,14
2014,327038,14,14,24
2015,327038,14,14,38
2016,327038,14,14,26
2017,327038,14,14,26
2018,327038,14,14,30
2019,327038,14,14,30
2020,327038,14,14,67
2021,327038,14,14,55
2012,327038,15,15,138
2013,327038,15,15,135
2014,327038,15,15,140
2015,327038,15,15,154
2016,327038,15,15,186
2017,327038,15,15,206
2018,327038,15,15,195
2019,327038,15,15,202
2020,327038,15,15,224
2021,327038,15,15,203
2012,327038,16,16,240
2013,327038,16,16,208
2014,327038,16,16,244
2015,327038,16,16,279
2016,327038,16,16,308
2017,327038,16,16,341
2018,327038,16,16,382
2019,327038,16,16,299
2020,327038,16,16,302
2021,327038,16,16,334
2012,327038,17,17,518
2013,327038,17,17,524
2014,327038,17,17,599
2015,327038,17,17,663
2016,327038,17,17,780
2017,327038,17,17,682
2018,327038,17,17,675
2019,327038,17,17,611
2020,327038,17,17,733
2021,327038,17,17,643
2012,327038,18,18,20
2013,327038,18,18,22
2014,327038,18,18,36
2015,327038,18,18,65
2016,327038,18,18,39
2017,327038,18,18,38
2018,327038,18,18,42
2019,327038,18,18,58
2020,327038,18,18,74
2021,327038,18,18,77
2012,327038,19,19,29
2013,327038,19,19,35
2014,327038,19,19,45
2015,327038,19,19,45
2016,327038,19,19,54
2017,327038,19,19,77
2018,327038,19,19,102
2019,327038,19,19,147
2020,327038,19,19,51
2021,327038,19,19,48
2012,327038,20,20,4
2013,327038,20,20,2
2014,327038,20,20,15
2015,327038,20,20,9
2016,327038,20,20,16
2017,327038,20,20,12
2018,327038,20,20,14
2019,327038,20,20,17
2020,327038,20,20,48
2021,327038,20,20,27
2012,327038,21,21,33
2013,327038,21,21,85
2014,327038,21,21,84
2015,327038,21,21,107
2016,327038,21,21,96
2017,327038,21,21,161
2018,327038,21,21,166
2019,327038,21,21,189
2020,327038,21,21,194
2021,327038,21,21,298
2012,327038,22,22,771
2013,327038,22,22,868
2014,327038,22,22,1028
2015,327038,22,22,1126
2016,327038,22,22,1303
2017,327038,22,22,1235
2018,327038,22,22,1238
2019,327038,22,22,1062
2020,327038,22,22,1083
2021,327038,22,22,1100
2012,327038,23,23,59
2013,327038,23,23,63
2014,327038,23,23,62
2015,327038,23,23,77
2016,327038,23,23,101
2017,327038,23,23,131
2018,327038,23,23,171
2019,327038,23,23,189
2020,327038,23,23,139
2021,327038,23,23,144
2012,327038,24,24,8
2013,327038,24,24,5
2014,327038,24,24,12
2015,327038,24,24,4
2016,327038,24,24,9
2017,327038,24,24,10
2018,327038,24,24,5
2019,327038,24,24,7
2020,327038,24,24,7
2021,327038,24,24,9
2012,327038,25,25,443
2013,327038,25,25,464
2014,327038,25,25,477
2015,327038,25,25,579
2016,327038,25,25,641
2017,327038,25,25,630
2018,327038,25,25,713
2019,327038,25,25,661
2020,327038,25,25,571
2021,327038,25,25,615
2012,327038,26,26,341
2013,327038,26,26,336
2014,327038,26,26,397
2015,327038,26,26,365
2016,327038,26,26,468
2017,327038,26,26,445
2018,327038,26,26,382
2019,327038,26,26,408
2020,327038,26,26,376
2021,327038,26,26,455
2012,327038,27,27,41
2013,327038,27,27,39
2014,327038,27,27,55
2015,327038,27,27,62
2016,327038,27,27,68
2017,327038,27,27,87
2018,327038,27,27,90
2019,327038,27,27,94
2020,327038,27,27,87
2021,327038,27,27,136
2012,327038,28,28,10
2013,327038,28,28,6
2014,327038,28,28,8
2015,327038,28,28,15
2016,327038,28,28,7
2017,327038,28,28,10
2018,327038,28,28,11
2019,327038,28,28,8
2020,327038,28,28,17
2021,327038,28,28,11
2012,327038,29,29,0
2013,327038,29,29,1
2014,327038,29,29,2
2015,327038,29,29,0
2016,327038,29,29,0
2017,327038,29,29,0
2018,327038,29,29,1
2019,327038,29,29,3
2020,327038,29,29,2
2021,327038,29,29,3
2012,327038,30,30,14
2013,327038,30,30,12
2014,327038,30,30,13
2015,327038,30,30,15
2016,327038,30,30,17
2017,327038,30,30,14
2018,327038,30,30,21
2019,327038,30,30,28
2020,327038,30,30,31
2021,327038,30,30,32
2012,327038,31,31,576
2013,327038,31,31,614
2014,327038,31,31,626
2015,327038,31,31,720
2016,327038,31,31,861
2017,327038,31,31,804
2018,327038,31,31,991
2019,327038,31,31,793
2020,327038,31,31,759
2021,327038,31,31,817
2012,327038,32,32,3
2013,327038,32,32,0
2014,327038,32,32,2
2015,327038,32,32,3
2016,327038,32,32,0
2017,327038,32,32,2
2018,327038,32,32,4
2019,327038,32,32,1
2020,327038,32,32,7
2021,327038,32,32,5
2012,327038,33,33,36
2013,327038,33,33,37
2014,327038,33,33,46
2015,327038,33,33,58
2016,327038,33,33,98
2017,327038,33,33,72
2018,327038,33,33,88
2019,327038,33,33,97
2020,327038,33,33,128
2021,327038,33,33,129
2012,327038,34,34,0
2013,327038,34,34,0
2014,327038,34,34,0
2015,327038,34,34,2
2016,327038,34,34,2
2017,327038,34,34,0
2018,327038,34,34,2
2019,327038,34,34,1
2020,327038,34,34,4
2021,327038,34,34,1
2012,327038,35,35,0
2013,327038,35,35,0
2014,327038,35,35,2
2015,327038,35,35,2
2016,327038,35,35,0
2017,327038,35,35,0
2018,327038,35,35,18
2019,327038,35,35,1
2020,327038,35,35,1
2021,327038,35,35,1
2012,327038,36,36,3
2013,327038,36,36,6
2014,327038,36,36,8
2015,327038,36,36,4
2016,327038,36,36,13
2017,327038,36,36,21
2018,327038,36,36,4
2019,327038,36,36,4
2020,327038,36,36,9
2021,327038,36,36,10
2012,327006,10,10,0
2013,327006,10,10,0
2014,327006,10,10,1
2015,327006,10,10,1
2016,327006,10,10,2
2017,327006,10,10,8
2018,327006,10,10,7
2019,327006,10,10,12
2020,327006,10,10,6
2021,327006,10,10,9
2012,327006,11,11,2
2013,327006,11,11,6
2014,327006,11,11,3
2015,327006,11,11,8
2016,327006,11,11,14
2017,327006,11,11,10
2018,327006,11,11,14
2019,327006,11,11,25
2020,327006,11,11,29
2021,327006,11,11,21
2012,327006,12,12,1
2013,327006,12,12,1
2014,327006,12,12,3
2015,327006,12,12,3
2016,327006,12,12,3
2017,327006,12,12,3
2018,327006,12,12,5
2019,327006,12,12,25
2020,327006,12,12,25
2021,327006,12,12,45
2012,327006,13,13,19
2013,327006,13,13,39
2014,327006,13,13,26
2015,327006,13,13,23
2016,327006,13,13,16
2017,327006,13,13,35
2018,327006,13,13,25
2019,327006,13,13,39
2020,327006,13,13,53
2021,327006,13,13,65
2012,327006,14,14,1
2013,327006,14,14,5
2014,327006,14,14,3
2015,327006,14,14,8
2016,327006,14,14,15
2017,327006,14,14,11
2018,327006,14,14,11
2019,327006,14,14,18
2020,327006,14,14,10
2021,327006,14,14,21
2012,327006,15,15,46
2013,327006,15,15,77
2014,327006,15,15,59
2015,327006,15,15,81
2016,327006,15,15,99
2017,327006,15,15,90
2018,327006,15,15,74
2019,327006,15,15,95
2020,327006,15,15,81
2021,327006,15,15,93
2012,327006,16,16,67
2013,327006,16,16,108
2014,327006,16,16,75
2015,327006,16,16,112
2016,327006,16,16,126
2017,327006,16,16,127
2018,327006,16,16,176
2019,327006,16,16,131
2020,327006,16,16,110
2021,327006,16,16,139
2012,327006,17,17,51
2013,327006,17,17,81
2014,327006,17,17,107
2015,327006,17,17,108
2016,327006,17,17,111
2017,327006,17,17,109
2018,327006,17,17,112
2019,327006,17,17,169
2020,327006,17,17,117
2021,327006,17,17,151
2012,327006,18,18,4
2013,327006,18,18,6
2014,327006,18,18,15
2015,327006,18,18,18
2016,327006,18,18,19
2017,327006,18,18,15
2018,327006,18,18,8
2019,327006,18,18,38
2020,327006,18,18,13
2021,327006,18,18,27
2012,327006,19,19,5
2013,327006,19,19,14
2014,327006,19,19,19
2015,327006,19,19,18
2016,327006,19,19,34
2017,327006,19,19,82
2018,327006,19,19,95
2019,327006,19,19,94
2020,327006,19,19,30
2021,327006,19,19,35
2012,327006,20,20,0
2013,327006,20,20,2
2014,327006,20,20,3
2015,327006,20,20,10
2016,327006,20,20,13
2017,327006,20,20,8
2018,327006,20,20,4
2019,327006,20,20,32
2020,327006,20,20,6
2021,327006,20,20,4
2012,327006,21,21,9
2013,327006,21,21,33
2014,327006,21,21,18
2015,327006,21,21,23
2016,327006,21,21,41
2017,327006,21,21,61
2018,327006,21,21,73
2019,327006,21,21,115
2020,327006,21,21,81
2021,327006,21,21,147
2012,327006,22,22,145
2013,327006,22,22,200
2014,327006,22,22,275
2015,327006,22,22,280
2016,327006,22,22,337
2017,327006,22,22,313
2018,327006,22,22,465
2019,327006,22,22,567
2020,327006,22,22,386
2021,327006,22,22,431
2012,327006,23,23,19
2013,327006,23,23,28
2014,327006,23,23,28
2015,327006,23,23,38
2016,327006,23,23,58
2017,327006,23,23,90
2018,327006,23,23,103
2019,327006,23,23,161
2020,327006,23,23,80
2021,327006,23,23,133
2012,327006,24,24,0
2013,327006,24,24,3
2014,327006,24,24,0
2015,327006,24,24,1
2016,327006,24,24,0
2017,327006,24,24,1
2018,327006,24,24,1
2019,327006,24,24,0
2020,327006,24,24,2
2021,327006,24,24,1
2012,327006,25,25,95
2013,327006,25,25,116
2014,327006,25,25,97
2015,327006,25,25,119
2016,327006,25,25,158
2017,327006,25,25,158
2018,327006,25,25,276
2019,327006,25,25,330
2020,327006,25,25,236
2021,327006,25,25,244
2012,327006,26,26,49
2013,327006,26,26,69
2014,327006,26,26,65
2015,327006,26,26,75
2016,327006,26,26,78
2017,327006,26,26,95
2018,327006,26,26,90
2019,327006,26,26,131
2020,327006,26,26,114
2021,327006,26,26,165
2012,327006,27,27,5
2013,327006,27,27,4
2014,327006,27,27,7
2015,327006,27,27,13
2016,327006,27,27,4
2017,327006,27,27,11
2018,327006,27,27,9
2019,327006,27,27,10
2020,327006,27,27,7
2021,327006,27,27,11
2012,327006,28,28,0
2013,327006,28,28,0
2014,327006,28,28,1
2015,327006,28,28,0
2016,327006,28,28,1
2017,327006,28,28,0
2018,327006,28,28,0
2019,327006,28,28,1
2020,327006,28,28,2
2021,327006,28,28,0
2012,327006,29,29,0
2013,327006,29,29,0
2014,327006,29,29,0
2015,327006,29,29,0
2016,327006,29,29,0
2017,327006,29,29,0
2018,327006,29,29,0
2019,327006,29,29,1
2020,327006,29,29,2
2021,327006,29,29,0
2012,327006,30,30,3
2013,327006,30,30,2
2014,327006,30,30,1
2015,327006,30,30,8
2016,327006,30,30,2
2017,327006,30,30,7
2018,327006,30,30,9
2019,327006,30,30,15
2020,327006,30,30,16
2021,327006,30,30,24
2012,327006,31,31,87
2013,327006,31,31,119
2014,327006,31,31,126
2015,327006,31,31,141
2016,327006,31,31,127
2017,327006,31,31,115
2018,327006,31,31,171
2019,327006,31,31,162
2020,327006,31,31,144
2021,327006,31,31,220
2012,327006,32,32,0
2013,327006,32,32,0
2014,327006,32,32,1
2015,327006,32,32,0
2016,327006,32,32,0
2017,327006,32,32,0
2018,327006,32,32,1
2019,327006,32,32,2
2020,327006,32,32,0
2021,327006,32,32,1
2012,327006,33,33,6
2013,327006,33,33,11
2014,327006,33,33,23
2015,327006,33,33,27
2016,327006,33,33,53
2017,327006,33,33,43
2018,327006,33,33,53
2019,327006,33,33,104
2020,327006,33,33,90
2021,327006,33,33,72
2012,327006,34,34,2
2013,327006,34,34,0
2014,327006,34,34,0
2015,327006,34,34,0
2016,327006,34,34,0
2017,327006,34,34,0
2018,327006,34,34,0
2019,327006,34,34,0
2020,327006,34,34,1
2021,327006,34,34,0
2012,327006,35,35,0
2013,327006,35,35,0
2014,327006,35,35,0
2015,327006,35,35,0
2016,327006,35,35,0
2017,327006,35,35,0
2018,327006,35,35,0
2019,327006,35,35,0
2020,327006,35,35,0
2021,327006,35,35,0
2012,327006,36,36,0
2013,327006,36,36,0
2014,327006,36,36,0
2015,327006,36,36,0
2016,327006,36,36,0
2017,327006,36,36,2
2018,327006,36,36,0
2019,327006,36,36,4
2020,327006,36,36,1
2021,327006,36,36,3
2012,327026,10,10,0
2013,327026,10,10,5
2014,327026,10,10,2
2015,327026,10,10,2
2016,327026,10,10,2
2017,327026,10,10,6
2018,327026,10,10,8
2019,327026,10,10,7
2020,327026,10,10,15
2021,327026,10,10,16
2012,327026,11,11,36
2013,327026,11,11,43
2014,327026,11,11,38
2015,327026,11,11,38
2016,327026,11,11,33
2017,327026,11,11,38
2018,327026,11,11,45
2019,327026,11,11,52
2020,327026,11,11,62
2021,327026,11,11,64
2012,327026,12,12,36
2013,327026,12,12,36
2014,327026,12,12,29
2015,327026,12,12,37
2016,327026,12,12,27
2017,327026,12,12,47
2018,327026,12,12,37
2019,327026,12,12,45
2020,327026,12,12,76
2021,327026,12,12,69
2012,327026,13,13,27
2013,327026,13,13,50
2014,327026,13,13,32
2015,327026,13,13,43
2016,327026,13,13,28
2017,327026,13,13,33
2018,327026,13,13,29
2019,327026,13,13,62
2020,327026,13,13,48
2021,327026,13,13,61
2012,327026,14,14,1
2013,327026,14,14,3
2014,327026,14,14,3
2015,327026,14,14,5
2016,327026,14,14,7
2017,327026,14,14,8
2018,327026,14,14,7
2019,327026,14,14,6
2020,327026,14,14,8
2021,327026,14,14,6
2012,327026,15,15,6
2013,327026,15,15,12
2014,327026,15,15,16
2015,327026,15,15,17
2016,327026,15,15,12
2017,327026,15,15,17
2018,327026,15,15,16
2019,327026,15,15,20
2020,327026,15,15,23
2021,327026,15,15,32
2012,327026,16,16,42
2013,327026,16,16,43
2014,327026,16,16,46
2015,327026,16,16,59
2016,327026,16,16,48
2017,327026,16,16,40
2018,327026,16,16,50
2019,327026,16,16,79
2020,327026,16,16,67
2021,327026,16,16,62
2012,327026,17,17,16
2013,327026,17,17,19
2014,327026,17,17,26
2015,327026,17,17,30
2016,327026,17,17,28
2017,327026,17,17,33
2018,327026,17,17,26
2019,327026,17,17,43
2020,327026,17,17,45
2021,327026,17,17,51
2012,327026,18,18,0
2013,327026,18,18,0
2014,327026,18,18,3
2015,327026,18,18,6
2016,327026,18,18,3
2017,327026,18,18,7
2018,327026,18,18,12
2019,327026,18,18,12
2020,327026,18,18,7
2021,327026,18,18,3
2012,327026,19,19,7
2013,327026,19,19,7
2014,327026,19,19,14
2015,327026,19,19,9
2016,327026,19,19,16
2017,327026,19,19,18
2018,327026,19,19,15
2019,327026,19,19,24
2020,327026,19,19,14
2021,327026,19,19,23
2012,327026,20,20,1
2013,327026,20,20,3
2014,327026,20,20,2
2015,327026,20,20,5
2016,327026,20,20,9
2017,327026,20,20,10
2018,327026,20,20,12
2019,327026,20,20,9
2020,327026,20,20,10
2021,327026,20,20,6
2012,327026,21,21,1
2013,327026,21,21,8
2014,327026,21,21,3
2015,327026,21,21,6
2016,327026,21,21,4
2017,327026,21,21,3
2018,327026,21,21,2
2019,327026,21,21,6
2020,327026,21,21,5
2021,327026,21,21,6
2012,327026,22,22,9
2013,327026,22,22,14
2014,327026,22,22,19
2015,327026,22,22,31
2016,327026,22,22,21
2017,327026,22,22,22
2018,327026,22,22,19
2019,327026,22,22,14
2020,327026,22,22,18
2021,327026,22,22,32
2012,327026,23,23,22
2013,327026,23,23,20
2014,327026,23,23,18
2015,327026,23,23,16
2016,327026,23,23,14
2017,327026,23,23,21
2018,327026,23,23,22
2019,327026,23,23,32
2020,327026,23,23,28
2021,327026,23,23,37
2012,327026,24,24,0
2013,327026,24,24,8
2014,327026,24,24,6
2015,327026,24,24,4
2016,327026,24,24,4
2017,327026,24,24,7
2018,327026,24,24,6
2019,327026,24,24,8
2020,327026,24,24,11
2021,327026,24,24,11
2012,327026,25,25,23
2013,327026,25,25,26
2014,327026,25,25,28
2015,327026,25,25,42
2016,327026,25,25,36
2017,327026,25,25,40
2018,327026,25,25,32
2019,327026,25,25,36
2020,327026,25,25,43
2021,327026,25,25,35
2012,327026,26,26,40
2013,327026,26,26,39
2014,327026,26,26,65
2015,327026,26,26,67
2016,327026,26,26,53
2017,327026,26,26,35
2018,327026,26,26,55
2019,327026,26,26,74
2020,327026,26,26,55
2021,327026,26,26,56
2012,327026,27,27,13
2013,327026,27,27,13
2014,327026,27,27,11
2015,327026,27,27,5
2016,327026,27,27,12
2017,327026,27,27,12
2018,327026,27,27,19
2019,327026,27,27,21
2020,327026,27,27,26
2021,327026,27,27,35
2012,327026,28,28,0
2013,327026,28,28,1
2014,327026,28,28,1
2015,327026,28,28,3
2016,327026,28,28,1
2017,327026,28,28,3
2018,327026,28,28,2
2019,327026,28,28,3
2020,327026,28,28,4
2021,327026,28,28,2
2012,327026,29,29,0
2013,327026,29,29,0
2014,327026,29,29,0
2015,327026,29,29,0
2016,327026,29,29,0
2017,327026,29,29,0
2018,327026,29,29,1
2019,327026,29,29,0
2020,327026,29,29,1
2021,327026,29,29,2
2012,327026,30,30,8
2013,327026,30,30,10
2014,327026,30,30,10
2015,327026,30,30,14
2016,327026,30,30,5
2017,327026,30,30,9
2018,327026,30,30,6
2019,327026,30,30,24
2020,327026,30,30,16
2021,327026,30,30,13
2012,327026,31,31,54
2013,327026,31,31,57
2014,327026,31,31,66
2015,327026,31,31,75
2016,327026,31,31,72
2017,327026,31,31,71
2018,327026,31,31,69
2019,327026,31,31,78
2020,327026,31,31,61
2021,327026,31,31,74
2012,327026,32,32,1
2013,327026,32,32,2
2014,327026,32,32,1
2015,327026,32,32,1
2016,327026,32,32,4
2017,327026,32,32,4
2018,327026,32,32,7
2019,327026,32,32,10
2020,327026,32,32,9
2021,327026,32,32,9
2012,327026,33,33,13
2013,327026,33,33,24
2014,327026,33,33,21
2015,327026,33,33,27
2016,327026,33,33,27
2017,327026,33,33,22
2018,327026,33,33,40
2019,327026,33,33,56
2020,327026,33,33,65
2021,327026,33,33,84
2012,327026,34,34,0
2013,327026,34,34,1
2014,327026,34,34,2
2015,327026,34,34,1
2016,327026,34,34,1
2017,327026,34,34,1
2018,327026,34,34,2
2019,327026,34,34,2
2020,327026,34,34,0
2021,327026,34,34,1
2012,327026,35,35,0
2013,327026,35,35,0
2014,327026,35,35,0
2015,327026,35,35,0
2016,327026,35,35,0
2017,327026,35,35,0
2018,327026,35,35,0
2019,327026,35,35,0
2020,327026,35,35,0
2021,327026,35,35,0
2012,327026,36,36,1
2013,327026,36,36,0
2014,327026,36,36,0
2015,327026,36,36,0
2016,327026,36,36,2
2017,327026,36,36,1
2018,327026,36,36,0
2019,327026,36,36,0
2020,327026,36,36,0
2021,327026,36,36,1
2012,708405,10,10,0
2013,708405,10,10,0
2014,708405,10,10,0
2015,708405,10,10,0
2016,708405,10,10,0
2017,708405,10,10,0
2018,708405,10,10,1
2019,708405,10,10,0
2020,708405,10,10,3
2021,708405,10,10,5
2012,708405,11,11,3
2013,708405,11,11,9
2014,708405,11,11,8
2015,708405,11,11,23
2016,708405,11,11,16
2017,708405,11,11,17
2018,708405,11,11,13
2019,708405,11,11,31
2020,708405,11,11,31
2021,708405,11,11,31
2012,708405,12,12,0
2013,708405,12,12,0
2014,708405,12,12,4
2015,708405,12,12,3
2016,708405,12,12,2
2017,708405,12,12,1
2018,708405,12,12,3
2019,708405,12,12,3
2020,708405,12,12,4
2021,708405,12,12,6
2012,708405,13,13,1
2013,708405,13,13,1
2014,708405,13,13,4
2015,708405,13,13,7
2016,708405,13,13,3
2017,708405,13,13,3
2018,708405,13,13,4
2019,708405,13,13,12
2020,708405,13,13,14
2021,708405,13,13,10
2012,708405,14,14,18
2013,708405,14,14,32
2014,708405,14,14,23
2015,708405,14,14,57
2016,708405,14,14,53
2017,708405,14,14,89
2018,708405,14,14,62
2019,708405,14,14,74
2020,708405,14,14,86
2021,708405,14,14,115
2012,708405,15,15,0
2013,708405,15,15,5
2014,708405,15,15,7
2015,708405,15,15,4
2016,708405,15,15,4
2017,708405,15,15,4
2018,708405,15,15,6
2019,708405,15,15,11
2020,708405,15,15,11
2021,708405,15,15,9
2012,708405,16,16,2
2013,708405,16,16,6
2014,708405,16,16,8
2015,708405,16,16,14
2016,708405,16,16,6
2017,708405,16,16,10
2018,708405,16,16,11
2019,708405,16,16,18
2020,708405,16,16,22
2021,708405,16,16,19
2012,708405,17,17,27
2013,708405,17,17,36
2014,708405,17,17,22
2015,708405,17,17,34
2016,708405,17,17,21
2017,708405,17,17,52
2018,708405,17,17,50
2019,708405,17,17,46
2020,708405,17,17,48
2021,708405,17,17,33
