2012;327005;10;None
2013;327005;10;None
2014;327005;10;7.0
2015;327005;10;60.0
2016;327005;10;31.5
2017;327005;10;17.5
2018;327005;10;8.5
2019;327005;10;7.5
2020;327005;10;14.0
2021;327005;10;4.6923075
2012;327005;11;4.3333335
2013;327005;11;4.7777777
2014;327005;11;14.148149
2015;327005;11;7.54
2016;327005;11;6.847826
2017;327005;11;6.2727275
2018;327005;11;7.55
2019;327005;11;6.172414
2020;327005;11;6.265306
2021;327005;11;5.142857
2012;327005;12;1.0
2013;327005;12;6.5
2014;327005;12;14.0
2015;327005;12;12.25
2016;327005;12;3.5714285
2017;327005;12;2.0
2018;327005;12;2.8
2019;327005;12;1.0
2020;327005;12;11.75
2021;327005;12;4.5
2012;327005;13;34.333332
2013;327005;13;21.714285
2014;327005;13;28.363636
2015;327005;13;26.7
2016;327005;13;18.904762
2017;327005;13;17.15
2018;327005;13;6.382979
2019;327005;13;12.25
2020;327005;13;7.875
2021;327005;13;4.137931
2012;327005;14;25.25
2013;327005;14;10.166667
2014;327005;14;3.75
2015;327005;14;5.882353
2016;327005;14;5.5882354
2017;327005;14;6.6190476
2018;327005;14;11.424242
2019;327005;14;9.607142
2020;327005;14;5.627907
2021;327005;14;3.483871
2012;327005;15;18.333334
2013;327005;15;18.555555
2014;327005;15;10.9375
2015;327005;15;13.888889
2016;327005;15;12.523809
2017;327005;15;8.608696
2018;327005;15;6.591837
2019;327005;15;6.36
2020;327005;15;5.0697675
2021;327005;15;2.612903
2012;327005;16;24.4
2013;327005;16;18.166666
2014;327005;16;19.533333
2015;327005;16;18.90909
2016;327005;16;17.857143
2017;327005;16;14.947369
2018;327005;16;5.98
2019;327005;16;14.0
2020;327005;16;14.84
2021;327005;16;3.851852
2012;327005;17;9.942029
2013;327005;17;11.625
2014;327005;17;6.983051
2015;327005;17;5.9661016
2016;327005;17;6.80292
2017;327005;17;5.0
2018;327005;17;3.9236112
2019;327005;17;4.6549296
2020;327005;17;4.4933333
2021;327005;17;1.9495798
2012;327005;18;60.4
2013;327005;18;25.666666
2014;327005;18;4.1
2015;327005;18;3.9
2016;327005;18;24.333334
2017;327005;18;10.0
2018;327005;18;2.0
2019;327005;18;11.888889
2020;327005;18;8.375
2021;327005;18;0.84615386
2012;327005;19;1.8
2013;327005;19;1.0
2014;327005;19;5.5
2015;327005;19;0.6666667
2016;327005;19;10.666667
2017;327005;19;2.1666667
2018;327005;19;3.1904762
2019;327005;19;1.1428572
2020;327005;19;2.8
2021;327005;19;3.2142856
2012;327005;20;2.0
2013;327005;20;4.7
2014;327005;20;10.166667
2015;327005;20;7.0
2016;327005;20;9.416667
2017;327005;20;9.625
2018;327005;20;7.5
2019;327005;20;3.7
2020;327005;20;5.0
2021;327005;20;1.5675676
2012;327005;21;17.0
2013;327005;21;12.75
2014;327005;21;13.7
2015;327005;21;11.0
2016;327005;21;9.769231
2017;327005;21;4.076923
2018;327005;21;7.5555553
2019;327005;21;9.220589
2020;327005;21;9.987013
2021;327005;21;5.9466667
2012;327005;22;8.755555
2013;327005;22;9.0
2014;327005;22;7.744589
2015;327005;22;7.0
2016;327005;22;7.5987053
2017;327005;22;6.8005867
2018;327005;22;5.8515153
2019;327005;22;6.681356
2020;327005;22;5.1755486
2021;327005;22;4.876033
2012;327005;23;5.8
2013;327005;23;4.875
2014;327005;23;8.324325
2015;327005;23;8.535714
2016;327005;23;8.962963
2017;327005;23;6.5194807
2018;327005;23;7.324324
2019;327005;23;6.4646463
2020;327005;23;7.0235295
2021;327005;23;5.4342103
2012;327005;24;None
2013;327005;24;41.0
2014;327005;24;26.0
2015;327005;24;35.5
2016;327005;24;6.0
2017;327005;24;None
2018;327005;24;15.0
2019;327005;24;12.6
2020;327005;24;6.4
2021;327005;24;2.0
2012;327005;25;14.606061
2013;327005;25;7.654321
2014;327005;25;8.525424
2015;327005;25;7.7313433
2016;327005;25;7.8117647
2017;327005;25;7.0
2018;327005;25;6.204819
2019;327005;25;8.693694
2020;327005;25;8.0
2021;327005;25;5.970588
2012;327005;26;19.603174
2013;327005;26;10.611111
2014;327005;26;6.7555556
2015;327005;26;6.8163266
2016;327005;26;7.1953125
2017;327005;26;5.0172415
2018;327005;26;4.6190476
2019;327005;26;7.4017096
2020;327005;26;5.8333335
2021;327005;26;4.672414
2012;327005;27;17.0
2013;327005;27;9.6
2014;327005;27;20.5
2015;327005;27;17.375
2016;327005;27;13.190476
2017;327005;27;9.866667
2018;327005;27;6.25
2019;327005;27;9.695652
2020;327005;27;7.714286
2021;327005;27;6.681818
2012;327005;28;8.0
2013;327005;28;34.5
2014;327005;28;59.0
2015;327005;28;11.0
2016;327005;28;10.5
2017;327005;28;9.0
2018;327005;28;None
2019;327005;28;2.5
2020;327005;28;8.0
2021;327005;28;None
2012;327005;29;None
2013;327005;29;None
2014;327005;29;None
2015;327005;29;None
2016;327005;29;112.0
2017;327005;29;None
2018;327005;29;29.0
2019;327005;29;None
2020;327005;29;9.0
2021;327005;29;11.0
2012;327005;30;None
2013;327005;30;56.0
2014;327005;30;None
2015;327005;30;40.666668
2016;327005;30;163.75
2017;327005;30;18.555555
2018;327005;30;16.666666
2019;327005;30;18.875
2020;327005;30;9.0
2021;327005;30;5.0
2012;327005;31;18.813953
2013;327005;31;9.582524
2014;327005;31;11.356164
2015;327005;31;8.294871
2016;327005;31;9.033708
2017;327005;31;7.7108436
2018;327005;31;5.6458335
2019;327005;31;8.553191
2020;327005;31;9.59375
2021;327005;31;3.6936936
2012;327005;32;None
2013;327005;32;None
